class,name
javax.swing.JLabel,jLabel4
javax.swing.JLabel,jLabel8
javax.swing.JTextField,jTextCat
javax.swing.JMenuItem,jMenuCreate
javax.swing.JTextField,jTextTel
javax.swing.JScrollPane,jScrollPane1
javax.swing.JButton,jB_Delete
javax.swing.JButton,jB_Save
javax.swing.JLabel,jLabel1
javax.swing.JTextField,jTextVersion
javax.swing.JLabel,jLabel3
javax.swing.JMenu,jMenu2
javax.swing.JPanel,jPanel3
javax.swing.JTextField,jTextAction
javax.swing.JMenuItem,jMenuUpdate
javax.swing.JLabel,jLabel2
javax.swing.JButton,jB_Back
javax.swing.JPanel,toolBar
javax.swing.JLabel,jLabelHeader
javax.swing.JPanel,contentPane
javax.swing.JMenuItem,jMenuDisplay
javax.swing.JLabel,jLabel7
javax.swing.JTextField,jTextName
javax.swing.JPanel,jPanel1
javax.swing.JButton,jB_Enter
javax.swing.JLabel,jLabel6
javax.swing.JButton,jB_Menu
javax.swing.JLabel,jLabelFooter
javax.swing.JMenu,jMenu1
javax.swing.JButton,jB_NewWindow
javax.swing.JTextField,jTextShort
javax.swing.JTextField,jTextCcode
javax.swing.JLabel,jLabel5
javax.swing.JMenuBar,jMenuBar1
